fingerprint, ipaddr, port
0B7BC0BF2C1186C1C6C23742141373B173DA0DA6, 109.173.233.112, 8082
0B7BC0BF2C1186C1C6C23742141373B173DA0DA6, 2001:470:600d:cafe:20d:b9ff:fe18:1512, 8082
0B888583EDB73862F444F2224F5C411DA4F7E9FE, 185.177.229.15, 443
0B888583EDB73862F444F2224F5C411DA4F7E9FE, 2604:86c0:f001:d:ccaa:7c2:c9ce:f001, 443
0BC8BA32CC3CB0F598E0C92778F7C0946DFBCE91, 87.118.116.90, 443
0BC8BA32CC3CB0F598E0C92778F7C0946DFBCE91, 2001:1b60:3:221:3132:102:0:1, 443
0BE0D248FDB5DAE73A493CD47043B2FD4C788A50, 15.204.235.110, 9000
0BE0D248FDB5DAE73A493CD47043B2FD4C788A50, 2604:2dc0:101:200::36e0, 9000
0BF171D0984EEF35B9ED9D7801941C833DD3853B, 192.119.108.114, 443
0BF6476BEEF084E4203F1457B34D214F535E9B3B, 193.31.27.42, 443
0BF6476BEEF084E4203F1457B34D214F535E9B3B, 2a03:4000:2b:1110:98fa:96ff:fe08:d530, 9001
0C20F273FB538122B21A636EC1FFE99176517BD8, 202.61.224.170, 9001
0C20F273FB538122B21A636EC1FFE99176517BD8, 2a03:4000:56:90:e4ce:e3ff:fe49:5558, 9001
0C29F124061426A5826372D2EA1124CDADD812FB, 50.118.225.161, 444
0C29F124061426A5826372D2EA1124CDADD812FB, 2a0f:ca80:1337::9969:dc10, 444
0C36AE99B744E32088C9ED23D7A31F8D23AE1A58, 95.216.13.120, 8000
0C36AE99B744E32088C9ED23D7A31F8D23AE1A58, 2a01:4f9:2a:d96::2, 8000
0C3D5E19E3C75B505C8ACD26F89DCA2DF970553E, 65.108.3.114, 1066
0C3D5E19E3C75B505C8ACD26F89DCA2DF970553E, 2a01:4f9:6a:528d::a, 1066
0C475BA4D3AA3C289B716F95954CAD616E50C4E5, 81.7.18.7, 9001
0C475BA4D3AA3C289B716F95954CAD616E50C4E5, 2a02:180:6:1::2eee, 9001
0C5CFD7CC30251555AC3A8B2F87E523430477FB1, 38.154.239.250, 443
0C68D484C72C44E8F1ABEF8637C156F69DE8F08B, 69.166.182.51, 9001
0C741818F254073AF5A3D9F6F31D2A69CEC610EF, 185.220.101.140, 11140
0C741818F254073AF5A3D9F6F31D2A69CEC610EF, 2a0b:f4c2:1::140, 11140
0C8F681ED2E2E4DA5525AA11416E970B7158CACB, 89.147.111.124, 9001
0C9B3C686421C5A8C20BAA0D7369CD929F43A174, 5.75.249.160, 1337
0C9B3C686421C5A8C20BAA0D7369CD929F43A174, 2a01:4f8:c17:ba99::1, 1337
